Model No.,Godwan,MT Stock,IB Stock,DDN Stock,DL Stock,CHD Stock,Main,Sample Line,Total
JC1L193M0015,0,0,0,0,0,0,0,0,0
JC1L208M0055,0,0,0,1,1,2,0,0,4
JC1L184M0025,0,0,0,0,0,0,0,0,0
JC1L186M0065,0,0,0,0,0,0,0,0,0
JC1L228M0035,0,0,0,1,0,0,0,0,1
JC1L222M0035,0,0,0,0,0,0,0,0,0
JC1L230M0065,0,1,0,1,1,1,49,1,54
JC1L247M0025,0,0,0,1,0,0,6,0,7
JC1L232M0065,0,0,0,0,0,0,0,0,0
JC1L248M0045,0,0,0,1,1,0,0,0,2
JC1L251M0075,0,0,0,0,0,0,0,1,1
JC1L251M0045,0,0,0,1,1,2,2,1,7
JC1L222M0065,0,0,0,0,0,0,0,0,0
JC1L227M0035,0,0,0,0,0,0,8,0,8
JC1L226M0025,0,0,0,0,1,0,0,0,1
JC1L248M0065,0,0,0,1,0,2,0,0,3
JC1L208M0025,0,0,0,0,0,0,0,0,0
JC1L223M0065,0,0,0,1,2,1,0,0,4
JC1L264M0075,0,0,0,0,0,0,0,1,1
JC1L247M0055,0,0,0,0,0,0,6,0,6
JC1L248M0075,0,0,0,1,1,1,1,1,5
JC1L168M0045,0,0,0,0,0,0,0,0,0
JC1L163M0275,0,0,0,0,0,0,0,0,0
JC1L268M0055,0,0,0,0,0,1,1,1,3
JC1L248M0055,0,1,0,1,2,1,15,1,21
JC1L228M0065,0,0,0,0,0,0,0,0,0
JC1L168M0085,0,0,0,0,0,0,0,0,0
JC1L228M0045,0,0,0,1,0,0,0,0,1
JC1L073M0075,0,0,0,0,0,0,0,0,0
JC1L247M0075,0,0,0,0,0,0,6,0,6
JC1L306M0015,0,0,0,0,1,0,0,0,1
JC1L163M0255,0,0,0,0,0,0,0,0,0
JC1L167M0055,0,0,0,0,0,0,0,0,0
JC1L302M0055,0,0,0,0,0,1,2,1,4
JC1L163M0065,0,0,0,0,0,0,0,0,0
JC1L183M0015,0,0,0,0,0,0,0,0,0
JC1L222M0025,0,0,0,0,0,0,0,0,0
JC1L305M0015,0,0,0,0,0,0,0,0,0
JC1L306M0075,0,0,1,0,0,1,0,0,2
JC1L305M0065,0,0,1,1,1,2,3,1,9
JC1L230M0015,0,0,0,0,0,0,0,0,0
JC1L269M0045,0,0,0,0,0,1,0,0,1
JC1L227M0025,0,0,0,0,0,0,0,1,1
JC1L185M0015,0,0,0,0,0,0,0,0,0
JC1L073M0025,0,0,0,0,0,0,0,0,0
JC1L264M0015,0,0,0,0,0,0,0,0,0
JC1L112M0025,0,0,0,0,0,0,5,0,5
JC1L264M0025,0,0,0,0,0,0,0,0,0
JC1L228M0025,0,0,0,1,1,0,0,0,2
JC1L022M0025,0,0,0,0,0,0,4,0,4
JC1L190M0065,0,0,0,0,0,0,0,0,0
JC1L225M0095,0,0,0,0,0,0,3,0,3
JC1L226M0015,0,0,0,1,1,1,0,1,4
JC1L114M0065,0,0,0,0,0,0,0,0,0
JC1L306M0065,0,0,0,1,1,1,0,1,4
